AccountPk,TotalBalance,Expenses,EmploymentBasis,IncomeBand,State,FGF Score,Age,Age Group,Resilience_Score,Segment,Clustering
1084715,132.4,469.69,Full Time Work,20k - 30k,QLD,361,26,26-30,0.281888054,Brass,Brass2
1084973,673.26,1164.3157,Part Time Work,70k - 80k,NSW,428,56,56-60,0.57824523,Brass,Brass3
1085603,179.55,919.8907,NULL,60k - 70k,NSW,340,28,26-30,0.195186232,Brass,Brass3
1086231,718.51,490,Full Time Work,20k - 30k,NSW,350,39,36-40,1.466346939,Brass,Brass1
1086480,3.39,555,Full Time Work,40k - 50k,VIC,399,45,41-45,0.006108108,Brass,Brass2
1086926,720.21,409.2153,Full Time Work,30k - 40k,NSW,312,22,18-25,1.759978183,Brass,Brass2
1087399,1518.68,1188.2,Full Time Work,80k - 90k,VIC,375,30,26-30,1.278134994,Brass,Brass2
1087833,402.43,878.385,NULL,50k - 60k,QLD,354,30,26-30,0.458147623,Brass,Brass2
1088082,32.12,567.6507,NULL,30k - 40k,QLD,408,29,26-30,0.056584093,Brass,Brass2
1088572,288.76,826.7946,Full Time Work,50k - 60k,SA,500,34,31-35,0.349252402,Brass,Brass3
1088635,9.47,518.1261,Full Time Work,30k - 40k,WA,308,31,31-35,0.018277404,Brass,Brass2
1088662,147.06,854.0646,Full Time Work,40k - 50k,SA,506,30,26-30,0.17218838,Brass,Brass3
1088836,303.38,963.2284,Casual Work,70k - 80k,QLD,359,44,41-45,0.314961644,Brass,Brass2
1089151,372.42,1046.5192,Full Time Work,0k - 10k,QLD,417,35,31-35,0.355865425,Brass,Brass3
1089299,611.53,553.9553,Full Time Work,NULL,VIC,430,40,36-40,1.103933837,Brass,Brass2
1089502,113.67,778.67,NULL,30k - 40k,QLD,499,24,18-25,0.145979683,Brass,Brass3
1089632,0.07,637.4615,Part Time Work,40k - 50k,QLD,380,33,31-35,0.000109811,Brass,Brass1
1089644,362.63,1042.16,Full Time Work,70k - 80k,NSW,352,41,41-45,0.347960006,Brass,Brass2
1089718,111.34,760.2361,Full Time Work,40k - 50k,QLD,323,22,18-25,0.146454503,Brass,Brass1
1089862,174.78,734.89,Full Time Work,30k - 40k,VIC,395,29,26-30,0.237831512,Brass,Brass2
1090084,1780.05,449.69,Full Time Work,20k - 30k,VIC,316,26,26-30,3.95839356,Brass,Brass2
1090113,1040.66,1255,Full Time Work,50k - 60k,WA,366,43,41-45,0.829211155,Brass,Brass2
1090121,4.08,454.53,NULL,40k - 50k,WA,397,23,18-25,0.008976305,Brass,Brass2
1090143,2.52,504.5915,Full Time Work,50k - 60k,NT,328,36,36-40,0.004994139,Brass,Brass2
1090155,0.83,682.7892,Full Time Work,50k - 60k,NSW,328,38,36-40,0.001215602,Brass,Brass1
1090218,0.04,536.6,Full Time Work,30k - 40k,VIC,374,30,26-30,7.45E-05,Brass,Brass2
1090248,240.86,429.8892,Part Time Work,30k - 40k,NSW,372,21,18-25,0.560283906,Brass,Brass2
1090269,113.77,441.1107,NULL,30k - 40k,SA,335,21,18-25,0.257917117,Brass,Brass3
1090279,4.53,770.8592,Casual Work,70k - 80k,QLD,374,34,31-35,0.00587656,Brass,Brass2
1090410,838.17,600,Full Time Work,40k - 50k,QLD,403,53,51-55,1.39695,Brass,Brass2
1090537,221.53,639.6292,NULL,30k - 40k,VIC,421,41,41-45,0.346341286,Brass,Brass2
1090571,1673.65,1735.86,Part Time Work,90k - 100k,NSW,399,29,26-30,0.964161856,Brass,Brass3
1090577,11.71,672.2369,Part Time Work,30k - 40k,NSW,410,21,18-25,0.017419454,Brass,Brass3
1090692,60.05,611.1092,Full Time Work,50k - 60k,VIC,431,28,26-30,0.098263944,Brass,Brass3
1090733,68.97,949.2784,Full Time Work,80k - 90k,VIC,424,57,56-60,0.072655187,Brass,Brass2
1090782,123.35,438.0946,Casual Work,30k - 40k,NSW,301,29,26-30,0.281560193,Brass,Brass3
1090960,110,522.3507,Full Time Work,40k - 50k,QLD,469,42,41-45,0.210586489,Brass,Brass2
1091030,169.1,775.2,Full Time Work,40k - 50k,WA,407,25,18-25,0.218137255,Brass,Brass1
1091062,544.14,689.61,Casual Work,40k - 50k,NSW,340,31,31-35,0.789054683,Brass,Brass2
1091408,40.71,774.73,Full Time Work,40k - 50k,VIC,353,36,36-40,0.052547339,Brass,Brass2
1091409,20.77,749.893,Full Time Work,50k - 60k,VIC,456,32,31-35,0.027697285,Brass,Brass3
